SampleID,Project,SampleName,PMID,Genotype,Ecotype,Tissue,TotalReads,UniqueMappedRate,ReleaseDate,TissueClean,VegetativeRepro,AboveBelow,AT1G01010,PC1,PC2
DRX060004,PRJDB4993,Br-0_A2,Other,Other,Br-0,root,7416418,0.845,7/17/2018,Root,Vegetative,Below,58.430271,3.077219500101621,163.55734676297345
DRX060005,PRJDB4993,Br-0_A3,Other,Other,Br-0,root,7520634,0.8109999999999999,7/17/2018,Root,Vegetative,Below,61.119148,6.378563593221221,164.80927848743795
DRX060006,PRJDB4993,Br-0_C1,Other,Other,Br-0,root,7799229,0.831,7/17/2018,Root,Vegetative,Below,17.426188,-15.179285704720005,175.95407512794557
DRX060007,PRJDB4993,Br-0_C2,Other,Other,Br-0,root,8928357,0.83,7/17/2018,Root,Vegetative,Below,19.787552,-15.594560136064308,175.60438923170048
DRX060008,PRJDB4993,Br-0_C3,Other,Other,Br-0,root,7223583,0.835,7/17/2018,Root,Vegetative,Below,17.080765,-10.6560443204689,175.07955706775527
DRX060009,PRJDB4993,Col-0_A1,Other,Other,Col-0,root,7437828,0.926,7/17/2018,Root,Vegetative,Below,49.928127,-0.5802525852174584,172.5691073946328
DRX060010,PRJDB4993,Col-0_A2,Other,Other,Col-0,root,3329883,0.928,7/17/2018,Root,Vegetative,Below,48.252682,15.044343154924638,168.57547897786603
DRX060011,PRJDB4993,Col-0_A3,Other,Other,Col-0,root,6939746,0.927,7/17/2018,Root,Vegetative,Below,48.443493,-0.9678698996389309,169.87699060052873
DRX060012,PRJDB4993,Col-0_C1,Other,Other,Col-0,root,8028261,0.917,7/17/2018,Root,Vegetative,Below,15.433495,-18.502607452616722,176.8214331678546
DRX060013,PRJDB4993,Col-0_C2,Other,Other,Col-0,root,7570866,0.917,7/17/2018,Root,Vegetative,Below,14.381066,-14.742118750258369,176.7480145441134
DRX060014,PRJDB4993,Col-0_C3,Other,Other,Col-0,root,7463270,0.912,7/17/2018,Root,Vegetative,Below,14.781604,-12.92337468432743,176.12216994587845
DRX060015,PRJDB4993,Dra-2_A1,Other,Other,Dra-2,root,7057659,0.866,7/17/2018,Root,Vegetative,Below,56.355927,9.993110442320026,161.82679501743218
DRX060016,PRJDB4993,Dra-2_A2,Other,Other,Dra-2,root,6619539,0.8690000000000001,7/17/2018,Root,Vegetative,Below,53.710251,9.173145248836722,164.05424194578978
DRX060017,PRJDB4993,Dra-2_A3,Other,Other,Dra-2,root,7293100,0.8690000000000001,7/17/2018,Root,Vegetative,Below,55.529243,8.01109317661098,162.6312670226825
DRX060018,PRJDB4993,Dra-2_C1,Other,Other,Dra-2,root,7843067,0.85,7/17/2018,Root,Vegetative,Below,18.452341,-13.297116466355522,172.75338955670108
DRX060019,PRJDB4993,Dra-2_C2,Other,Other,Dra-2,root,6966975,0.852,7/17/2018,Root,Vegetative,Below,15.498191,-7.194885942889415,173.49260432761125
DRX060020,PRJDB4993,Dra-2_C3,Other,Other,Dra-2,root,7727172,0.85,7/17/2018,Root,Vegetative,Below,15.009719,-12.283488936567572,174.1110397262243
DRX060021,PRJDB4993,Shigu-2_A1,Other,Other,Shigu-2,root,8079907,0.851,7/17/2018,Root,Vegetative,Below,54.871742,4.19126147102105,160.31905909386785
DRX060022,PRJDB4993,Shigu-2_A2,Other,Other,Shigu-2,root,6989410,0.848,7/17/2018,Root,Vegetative,Below,49.880539,6.555580275608129,158.35979137203756
DRX060023,PRJDB4993,Shigu-2_A3,Other,Other,Shigu-2,root,7309921,0.8420000000000001,7/17/2018,Root,Vegetative,Below,56.837849,4.780084980087113,158.99676623055615
DRX060024,PRJDB4993,Shigu-2_C1,Other,Other,Shigu-2,root,8003055,0.8220000000000001,7/17/2018,Root,Vegetative,Below,20.545725,-10.139392796207968,170.85633196145167
DRX060025,PRJDB4993,Shigu-2_C2,Other,Other,Shigu-2,root,7760367,0.8320000000000001,7/17/2018,Root,Vegetative,Below,19.909986,-13.498375097562322,163.1967206821589
DRX060026,PRJDB4993,Shigu-2_C3,Other,Other,Shigu-2,root,7965607,0.836,7/17/2018,Root,Vegetative,Below,15.969561,-10.779601146583431,169.01768460707447
DRX060027,PRJDB4993,Valsi-1_A1,Other,Other,Valsi-1,root,7149904,0.866,7/17/2018,Root,Vegetative,Below,53.523079,4.889812743292386,163.33822426966296
DRX060028,PRJDB4993,Valsi-1_A2,Other,Other,Valsi-1,root,6609270,0.87,7/17/2018,Root,Vegetative,Below,60.15617,-0.40984966039357545,158.25541620862134
DRX060029,PRJDB4993,Valsi-1_A3,Other,Other,Valsi-1,root,7076890,0.867,7/17/2018,Root,Vegetative,Below,55.869053,3.5337336797631504,166.02104630239384
DRX060030,PRJDB4993,Valsi-1_C1,Other,Other,Valsi-1,root,8564052,0.8490000000000001,7/17/2018,Root,Vegetative,Below,16.125551,-15.010889615933777,173.0896914428687
DRX060031,PRJDB4993,Valsi-1_C2,Other,Other,Valsi-1,root,8203195,0.852,7/17/2018,Root,Vegetative,Below,17.045536,-16.363066255048327,174.72229883363963
DRX060032,PRJDB4993,Valsi-1_C3,Other,Other,Valsi-1,root,8420678,0.8490000000000001,7/17/2018,Root,Vegetative,Below,15.743147,-18.250043102314912,173.45568286099729
DRX060033,PRJDB4993,Wei-0_A1,Other,Other,Wei-0,root,6642560,0.8740000000000001,7/17/2018,Root,Vegetative,Below,70.990517,6.5805497006184295,163.39109826143127
DRX060034,PRJDB4993,Wei-0_A2,Other,Other,Wei-0,root,6576830,0.867,7/17/2018,Root,Vegetative,Below,67.33931,4.36017697057833,163.911357425259
DRX060035,PRJDB4993,Wei-0_A3,Other,Other,Wei-0,root,6164424,0.856,7/17/2018,Root,Vegetative,Below,64.160362,4.1921364197651165,160.95722930915562
DRX060036,PRJDB4993,Wei-0_C1,Other,Other,Wei-0,root,7368036,0.857,7/17/2018,Root,Vegetative,Below,14.143295,-10.19910615536417,173.4619361295292
DRX060037,PRJDB4993,Wei-0_C2,Other,Other,Wei-0,root,8218828,0.8590000000000001,7/17/2018,Root,Vegetative,Below,15.031255,-14.640378001107866,172.92977243016526
DRX060038,PRJDB4993,Wei-0_C3,Other,Other,Wei-0,root,8221041,0.862,7/17/2018,Root,Vegetative,Below,13.600032,-12.58619095671112,173.97567114636675
DRX061781,PRJDB5125,L144drb2,27995376,drb2,Col-0,seedlings,17649298,0.8490000000000001,9/6/2018,Seedling,WholePlant,WholePlant,4.394732,-31.33824743506972,-45.936630019240326
DRX061782,PRJDB5125,L145drb3,27995376,drb3,Col-0,seedlings,11350593,0.892,9/6/2018,Seedling,WholePlant,WholePlant,3.236106,-13.249868358144665,-49.04979631485709
DRX061784,PRJDB5125,L150DRB3ox,27995376,DRB3ox,Col-0,seedlings,6725771,0.856,9/6/2018,Seedling,WholePlant,WholePlant,4.427456,1.059630050304214,-62.25475975787486
DRX064451,PRJDB5141,Ctrl_1,28586097,Other,Col-0,root,20137756,0.923,6/19/2017,Root,Vegetative,Below,40.739166,-42.20092910552948,180.33562522654657
DRX064452,PRJDB5141,N_1,28586097,Other,Col-0,root,19725062,0.931,6/19/2017,Root,Vegetative,Below,40.141808,-36.37027501309756,187.75272450700538
DRX064453,PRJDB5141,K_1,28586097,Other,Col-0,root,19143287,0.929,6/19/2017,Root,Vegetative,Below,47.668278,-40.59071434743302,182.6419336480926
DRX064454,PRJDB5141,Ca_1,28586097,Other,Col-0,root,22171345,0.95,6/19/2017,Root,Vegetative,Below,44.909447,-44.014709732999286,181.46659475373164
DRX064455,PRJDB5141,Mg_1,28586097,Other,Col-0,root,21279018,0.926,6/19/2017,Root,Vegetative,Below,44.715984,-43.22072991412879,181.89398690061125
DRX064456,PRJDB5141,P_1,28586097,Other,Col-0,root,19683272,0.93,6/19/2017,Root,Vegetative,Below,38.358307,-34.468758401618906,188.1806725089852
DRX064457,PRJDB5141,S_1,28586097,Other,Col-0,root,21640246,0.914,6/19/2017,Root,Vegetative,Below,42.144779,-43.29097434274113,182.7654983131599
DRX064458,PRJDB5141,B_1,28586097,Other,Col-0,root,21225643,0.93,6/19/2017,Root,Vegetative,Below,42.632481,-43.01952391436073,178.7778997760619
DRX064459,PRJDB5141,Fe_1,28586097,Other,Col-0,root,19547010,0.922,6/19/2017,Root,Vegetative,Below,40.991291,-40.902946833538934,182.1976772695934
DRX064460,PRJDB5141,Mn_1,28586097,Other,Col-0,root,23638602,0.92,6/19/2017,Root,Vegetative,Below,44.219002,-46.09448327388427,182.01951217598548
DRX064461,PRJDB5141,Zn_1,28586097,Other,Col-0,root,19507942,0.931,6/19/2017,Root,Vegetative,Below,42.99881,-42.63908866081188,183.2935850795315
DRX064462,PRJDB5141,Cu_1,28586097,Other,Col-0,root,18186495,0.926,6/19/2017,Root,Vegetative,Below,41.617958,-40.80084849213445,180.85464640411297
DRX064463,PRJDB5141,Mo_1,28586097,Other,Col-0,root,20974220,0.919,6/19/2017,Root,Vegetative,Below,42.087822,-41.14405458684638,180.9375711608341
DRX064464,PRJDB5141,Ctrl_2,28586097,Other,Col-0,root,26490574,0.951,6/19/2017,Root,Vegetative,Below,43.447674,-50.2611834114566,179.08591549493931
DRX064465,PRJDB5141,N_2,28586097,Other,Col-0,root,20269190,0.951,6/19/2017,Root,Vegetative,Below,38.340313,-37.50862304743762,189.8451694797028
DRX064466,PRJDB5141,K_2,28586097,Other,Col-0,root,22799077,0.949,6/19/2017,Root,Vegetative,Below,49.113689,-44.44482828453117,181.69792608600017
DRX064467,PRJDB5141,Ca_2,28586097,Other,Col-0,root,19773879,0.952,6/19/2017,Root,Vegetative,Below,40.284996,-43.82913032533158,182.66004790256974
DRX064468,PRJDB5141,Mg_2,28586097,Other,Col-0,root,22484707,0.946,6/19/2017,Root,Vegetative,Below,49.495491,-46.211943854311585,180.9783182762816
DRX064469,PRJDB5141,P_2,28586097,Other,Col-0,root,22376503,0.955,6/19/2017,Root,Vegetative,Below,37.902504,-45.88862994742446,182.57885372876075
DRX064470,PRJDB5141,S_2,28586097,Other,Col-0,root,22880541,0.952,6/19/2017,Root,Vegetative,Below,41.215477,-46.893749993738396,183.293568938329
DRX064471,PRJDB5141,B_2,28586097,Other,Col-0,root,22832822,0.952,6/19/2017,Root,Vegetative,Below,42.440685,-45.60931601499156,179.56265611499228
DRX064472,PRJDB5141,Fe_2,28586097,Other,Col-0,root,20475949,0.949,6/19/2017,Root,Vegetative,Below,40.862213,-43.05371040112824,179.6895239488444
DRX064473,PRJDB5141,Mn_2,28586097,Other,Col-0,root,20339797,0.952,6/19/2017,Root,Vegetative,Below,43.538162,-43.01441872920205,180.23011053613857
DRX064474,PRJDB5141,Zn_2,28586097,Other,Col-0,root,18740319,0.948,6/19/2017,Root,Vegetative,Below,41.357857,-41.18053548989685,178.8056373506339
DRX064475,PRJDB5141,Cu_2,28586097,Other,Col-0,root,21365746,0.943,6/19/2017,Root,Vegetative,Below,40.174118,-43.20020580301839,180.5735915552081
DRX064476,PRJDB5141,Mo_2,28586097,Other,Col-0,root,20090585,0.952,6/19/2017,Root,Vegetative,Below,43.272289,-42.82821461222941,181.27447318212378
DRX065024,PRJDB5175,Col_MS_1,Other,wild type,Col-0,root,7992921,0.7879999999999999,9/6/2018,Root,Vegetative,Below,9.475111,23.473157384295007,138.21617560584247
DRX065025,PRJDB5175,Col_MS_2,Other,wild type,Col-0,root,8282396,0.76,9/6/2018,Root,Vegetative,Below,6.396598,19.958658528472117,133.96161746823694
DRX065027,PRJDB5175,MybOX_MS_2,Other,MybOX,Col-0,root,8049674,0.752,9/6/2018,Root,Vegetative,Below,11.058299,17.260168227273684,125.08480254493061
DRX065028,PRJDB5175,myb30_MS_1,Other,myb30-2,Col-0,root,8160721,0.8029999999999999,9/6/2018,Root,Vegetative,Below,8.737556,19.15731792583349,139.54944808434468
DRX065029,PRJDB5175,myb30_MS_2,Other,myb30-2,Col-0,root,8273459,0.768,9/6/2018,Root,Vegetative,Below,8.942035,17.27909517188651,143.76052491528856
DRX065030,PRJDB5175,Col_H2O_1,Other,wild type,Col-0,root,6330523,0.764,9/6/2018,Root,Vegetative,Below,13.673331,37.07454835015224,149.50799350498025
DRX065031,PRJDB5175,Col_H2O_2,Other,wild type,Col-0,root,8805636,0.802,9/6/2018,Root,Vegetative,Below,10.756803,14.924872024932418,133.3308001755028
DRX065032,PRJDB5175,myb30_H2O_1,Other,myb30-2,Col-0,root,7187583,0.8320000000000001,9/6/2018,Root,Vegetative,Below,17.263025,21.05005445029248,131.91080867674643
DRX065033,PRJDB5175,myb30_H2O_2,Other,myb30-2,Col-0,root,9097713,0.8290000000000001,9/6/2018,Root,Vegetative,Below,15.617283,12.54419470243137,137.01770717315253
DRX065034,PRJDB5175,MybOX_H2O_1,Other,MybOX,Col-0,root,8633303,0.763,9/6/2018,Root,Vegetative,Below,42.268623,-4.670045746953361,165.66175038840933
DRX065035,PRJDB5175,MybOX_H2O_2,Other,MybOX,Col-0,root,8625359,0.797,9/6/2018,Root,Vegetative,Below,11.725282,14.805006291639634,127.00023222254217
DRX066823,PRJDB5192,WT_RNA_A1,Other,wild type,Col-0,Other,13876017,0.929,1/27/2017,Other,Other,Other,7.088092,-40.78056209832426,-35.12243983941349
DRX066824,PRJDB5192,WT_RNA_A2,Other,wild type,Col-0,Other,14841169,0.917,1/27/2017,Other,Other,Other,4.956438,-34.873567896376976,-52.08605248436285
DRX066825,PRJDB5192,WT_RNA_A3,Other,wild type,Col-0,Other,13547152,0.926,1/27/2017,Other,Other,Other,4.817786,-36.0095971321139,-58.472665786415696
DRX066826,PRJDB5192,ibm1_RNA_A1,Other,ibm1,Col-0,Other,14813397,0.928,1/27/2017,Other,Other,Other,7.45108,-49.383184247737724,-22.751032760448307
DRX066827,PRJDB5192,ibm1_RNA_A2,Other,ibm1,Col-0,Other,13864607,0.8290000000000001,1/27/2017,Other,Other,Other,6.44818,-38.43710732047903,-43.065415167535335
DRX066828,PRJDB5192,ibm1_RNA_A3,Other,ibm1,Col-0,Other,12255953,0.925,1/27/2017,Other,Other,Other,5.229643,-38.17615842670917,-39.808849089060104
DRX066829,PRJDB5192,ibm1 ldl2_RNA_A1,Other,ibm1 ldl2,Col-0,Other,15036304,0.921,1/27/2017,Other,Other,Other,3.131766,-41.771842640904914,-41.27758552088997
DRX066830,PRJDB5192,ibm1 ldl2_RNA_A2,Other,ibm1 ldl2,Col-0,Other,13340000,0.862,1/27/2017,Other,Other,Other,3.588776,-32.96549043609404,-50.85684927739202
DRX066831,PRJDB5192,ibm1 ldl2_RNA_A3,Other,ibm1 ldl2,Col-0,Other,13949226,0.924,1/27/2017,Other,Other,Other,3.169802,-36.98214361489078,-49.604873477749265
DRX066832,PRJDB5192,WT_RNA_B1,Other,wild type,Col-0,Other,14026572,0.863,1/27/2017,Other,Other,Other,6.506399,-29.452184833345225,-47.28572642952431
DRX066833,PRJDB5192,WT_RNA_B2,Other,wild type,Col-0,Other,16653593,0.8490000000000001,1/27/2017,Other,Other,Other,4.689372,-32.31898757220658,-47.832145784848976
DRX066834,PRJDB5192,WT_RNA_B3,Other,wild type,Col-0,Other,15664386,0.86,1/27/2017,Other,Other,Other,6.143805,-32.131826655649576,-46.79398372300135
DRX066835,PRJDB5192,ldl2_RNA_B1,Other,ldl2,Col-0,Other,14315521,0.885,1/27/2017,Other,Other,Other,6.202172,-32.30404465647793,-46.78862730267387
DRX066836,PRJDB5192,ldl2_RNA_B2,Other,ldl2,Col-0,Other,15423278,0.873,1/27/2017,Other,Other,Other,5.905754,-36.22871337844302,-39.07609567574863
